"","Meter_location","Error_likelihood","Meter_age","Likelihood_OT_payment","Est_lost_revenue"
"49",111167,"Likely","TBD","TBD",130.198186536737
"50",111219,"Unlikely","TBD","TBD",142.698186536737
"51",111797,"Unlikely","TBD","TBD",142.698186536737
"52",111858,"Unclear","TBD","TBD",121.864853203403
"53",111949,"Unlikely","TBD","TBD",142.698186536737
"54",112394,"Unclear","TBD","TBD",141.864853203403
"55",113163,"Unlikely","TBD","TBD",142.698186536737
"56",113180,"Unlikely","TBD","TBD",142.698186536737
"57",113433,"Unlikely","TBD","TBD",121.864853203403
"58",113449,"Likely","TBD","TBD",123.53151987007
"59",113505,"Somewhat likely","TBD","TBD",136.864853203403
"60",113606,"Somewhat likely","TBD","TBD",121.03151987007
"61",114176,"Unlikely","TBD","TBD",142.698186536737
"62",114221,"Unlikely","TBD","TBD",142.698186536737
"63",114285,"Somewhat likely","TBD","TBD",125.198186536737
"64",114635,"Somewhat likely","TBD","TBD",121.864853203403
"65",114759,"Likely","TBD","TBD",111.03151987007
"66",114984,"Somewhat likely","TBD","TBD",130.198186536737
"67",115805,"Unlikely","TBD","TBD",142.698186536737
"68",116144,"Unclear","TBD","TBD",131.03151987007
"69",116174,"Likely","TBD","TBD",113.53151987007
"70",116619,"Unlikely","TBD","TBD",122.698186536737
"71",116821,"Unlikely","TBD","TBD",141.864853203403
"72",117430,"Likely","TBD","TBD",103.53151987007
"73",117562,"Likely","TBD","TBD",115.198186536737
"74",117856,"Somewhat likely","TBD","TBD",136.03151987007
"75",117902,"Somewhat likely","TBD","TBD",140.198186536737
"76",118150,"Unclear","TBD","TBD",134.364853203403
"77",119772,"Unclear","TBD","TBD",138.53151987007
"78",120518,"Somewhat likely","TBD","TBD",80.1981865367368
"79",120839,"Unclear","TBD","TBD",141.864853203403
"80",120950,"Likely","TBD","TBD",24.3648532034034
"81",121764,"Unlikely","TBD","TBD",125.198186536737
"82",121913,"Somewhat likely","TBD","TBD",135.198186536737
"83",122609,"Likely","TBD","TBD",116.03151987007
"84",122702,"Likely","TBD","TBD",63.5315198700701
"85",122999,"Somewhat likely","TBD","TBD",122.698186536737
"86",123305,"Unclear","TBD","TBD",138.53151987007
"87",123395,"Unlikely","TBD","TBD",140.198186536737
"88",123803,"Somewhat likely","TBD","TBD",133.53151987007
"89",123968,"Unclear","TBD","TBD",140.198186536737
"90",124415,"Likely","TBD","TBD",131.03151987007
"91",124754,"Likely","TBD","TBD",70.1981865367368
"92",124902,"Unlikely","TBD","TBD",142.698186536737
"93",125166,"Unclear","TBD","TBD",141.03151987007
"94",125245,"Likely","TBD","TBD",130.198186536737
"95",125269,"Unlikely","TBD","TBD",142.698186536737
"96",125439,"Unlikely","TBD","TBD",142.698186536737
"97",125571,"Unlikely","TBD","TBD",141.03151987007
"98",125675,"Somewhat likely","TBD","TBD",139.364853203403
"99",125800,"Unclear","TBD","TBD",141.864853203403
"100",126016,"Unclear","TBD","TBD",124.364853203403
"101",126144,"Very likely","TBD","TBD",131.03151987007
"102",126413,"Likely","TBD","TBD",121.03151987007
"103",126670,"Unclear","TBD","TBD",132.698186536737
"104",126893,"Somewhat likely","TBD","TBD",88.5315198700701
"105",127967,"Likely","TBD","TBD",82.6981865367368
"106",128752,"Likely","TBD","TBD",0
"107",129059,"Unclear","TBD","TBD",142.698186536737
"108",129320,"Likely","TBD","TBD",131.03151987007
"109",129866,"Somewhat likely","TBD","TBD",107.698186536737
"110",129874,"Likely","TBD","TBD",135.198186536737
"111",130520,"Unclear","TBD","TBD",130.198186536737
"112",130906,"Unclear","TBD","TBD",141.03151987007
"113",131141,"Likely","TBD","TBD",126.864853203403
"114",131142,"Likely","TBD","TBD",80.1981865367368
"115",131383,"Somewhat likely","TBD","TBD",134.364853203403
"116",132711,"Somewhat likely","TBD","TBD",128.53151987007
"117",132912,"Somewhat likely","TBD","TBD",124.364853203403
"118",132920,"Somewhat likely","TBD","TBD",101.864853203403
"119",133175,"Unclear","TBD","TBD",130.198186536737
"120",133665,"Somewhat likely","TBD","TBD",131.864853203403
"121",134206,"Unclear","TBD","TBD",139.364853203403
"122",134605,"Unclear","TBD","TBD",137.698186536737
"123",135307,"Unlikely","TBD","TBD",142.698186536737
"124",136129,"Likely","TBD","TBD",116.03151987007
"125",136177,"Somewhat likely","TBD","TBD",131.864853203403
"126",307955,"Likely","TBD","TBD",112.698186536737
"127",309437,"Unclear","TBD","TBD",14.3648532034034
"128",310173,"Likely","TBD","TBD",138.53151987007
"129",310621,"Likely","TBD","TBD",137.698186536737
"130",311294,"Unclear","TBD","TBD",141.864853203403
"131",104736,"Unlikely","TBD","TBD",142.698186536737
"132",103823,"Unlikely","TBD","TBD",142.698186536737
"133",100038,"Unlikely","TBD","TBD",142.698186536737
"134",113894,"Unlikely","TBD","TBD",142.698186536737
"135",103495,"Unlikely","TBD","TBD",142.698186536737
"136",103315,"Unlikely","TBD","TBD",142.698186536737
"137",100198,"Unlikely","TBD","TBD",142.698186536737
"138",111394,"Unlikely","TBD","TBD",142.698186536737
"139",101946,"Unlikely","TBD","TBD",142.698186536737
"140",107350,"Unlikely","TBD","TBD",142.698186536737
"141",118357,"Unlikely","TBD","TBD",142.698186536737
"142",116001,"Unlikely","TBD","TBD",142.698186536737
"143",106415,"Unlikely","TBD","TBD",142.698186536737
"144",106731,"Unlikely","TBD","TBD",142.698186536737
"145",114213,"Unlikely","TBD","TBD",142.698186536737
"146",102810,"Unlikely","TBD","TBD",142.698186536737
"147",108525,"Unlikely","TBD","TBD",142.698186536737
"148",114938,"Unlikely","TBD","TBD",142.698186536737
"149",108978,"Unlikely","TBD","TBD",142.698186536737
"150",110159,"Unlikely","TBD","TBD",142.698186536737
"151",107689,"Unlikely","TBD","TBD",142.698186536737
"152",113142,"Unlikely","TBD","TBD",142.698186536737
"153",100095,"Unlikely","TBD","TBD",142.698186536737
"154",105475,"Unlikely","TBD","TBD",142.698186536737
"155",106415,"Unlikely","TBD","TBD",142.698186536737
"156",103306,"Unlikely","TBD","TBD",142.698186536737
"157",106415,"Unlikely","TBD","TBD",142.698186536737
"158",102736,"Unlikely","TBD","TBD",142.698186536737
"159",104106,"Unlikely","TBD","TBD",142.698186536737
"160",106415,"Unlikely","TBD","TBD",142.698186536737
"161",126867,"Unlikely","TBD","TBD",142.698186536737
"162",103640,"Unlikely","TBD","TBD",142.698186536737
"163",101461,"Unlikely","TBD","TBD",142.698186536737
"164",104132,"Unlikely","TBD","TBD",142.698186536737
"165",110646,"Unlikely","TBD","TBD",142.698186536737
"166",115143,"Unlikely","TBD","TBD",142.698186536737
"167",100031,"Unlikely","TBD","TBD",142.698186536737
"168",106705,"Unlikely","TBD","TBD",142.698186536737
"169",106756,"Unlikely","TBD","TBD",142.698186536737
"170",101835,"Unlikely","TBD","TBD",142.698186536737
"171",130638,"Unlikely","TBD","TBD",142.698186536737
"172",102621,"Unlikely","TBD","TBD",142.698186536737
"173",102250,"Unlikely","TBD","TBD",142.698186536737
"174",112437,"Unlikely","TBD","TBD",142.698186536737
"175",106459,"Unlikely","TBD","TBD",142.698186536737
"176",104204,"Unlikely","TBD","TBD",142.698186536737
"177",116717,"Unlikely","TBD","TBD",142.698186536737
"178",104265,"Unlikely","TBD","TBD",142.698186536737
"179",114277,"Unlikely","TBD","TBD",142.698186536737
"180",107131,"Unlikely","TBD","TBD",142.698186536737
"181",100333,"Unlikely","TBD","TBD",142.698186536737
"182",106361,"Unlikely","TBD","TBD",142.698186536737
"183",105976,"Unlikely","TBD","TBD",142.698186536737
"184",117166,"Unlikely","TBD","TBD",142.698186536737
"185",101120,"Unlikely","TBD","TBD",142.698186536737
"186",107430,"Unlikely","TBD","TBD",142.698186536737
"187",105850,"Unlikely","TBD","TBD",142.698186536737
"188",104930,"Unlikely","TBD","TBD",142.698186536737
"189",112085,"Unlikely","TBD","TBD",142.698186536737
"190",109335,"Unlikely","TBD","TBD",142.698186536737
"191",103335,"Unlikely","TBD","TBD",142.698186536737
"192",100060,"Unlikely","TBD","TBD",142.698186536737
"193",117348,"Unlikely","TBD","TBD",142.698186536737
"194",101022,"Unlikely","TBD","TBD",142.698186536737
"195",107987,"Unlikely","TBD","TBD",142.698186536737
"196",109757,"Unlikely","TBD","TBD",142.698186536737
"197",105699,"Unlikely","TBD","TBD",142.698186536737
"198",102207,"Unlikely","TBD","TBD",142.698186536737
"199",111097,"Unlikely","TBD","TBD",142.698186536737
"200",103830,"Unlikely","TBD","TBD",142.698186536737
"201",100994,"Unlikely","TBD","TBD",142.698186536737
"202",104373,"Unlikely","TBD","TBD",142.698186536737
"203",106035,"Unlikely","TBD","TBD",142.698186536737
"204",101990,"Unlikely","TBD","TBD",142.698186536737
"205",131056,"Unlikely","TBD","TBD",142.698186536737
"206",311723,"Unlikely","TBD","TBD",142.698186536737
"207",111372,"Unlikely","TBD","TBD",142.698186536737
"208",100010,"Unlikely","TBD","TBD",142.698186536737
"209",110102,"Unlikely","TBD","TBD",142.698186536737
"210",100660,"Unlikely","TBD","TBD",142.698186536737
"211",105815,"Unlikely","TBD","TBD",142.698186536737
"212",103427,"Unlikely","TBD","TBD",142.698186536737
"213",106692,"Unlikely","TBD","TBD",142.698186536737
"214",100341,"Unlikely","TBD","TBD",142.698186536737
"215",106607,"Unlikely","TBD","TBD",142.698186536737
"216",115802,"Unlikely","TBD","TBD",142.698186536737
"217",116720,"Unlikely","TBD","TBD",142.698186536737
"218",106282,"Unlikely","TBD","TBD",142.698186536737
"219",114757,"Unlikely","TBD","TBD",142.698186536737
"220",107619,"Unlikely","TBD","TBD",142.698186536737
"221",112543,"Unlikely","TBD","TBD",142.698186536737
"222",106045,"Unlikely","TBD","TBD",142.698186536737
"223",100954,"Unlikely","TBD","TBD",142.698186536737
"224",118490,"Unlikely","TBD","TBD",142.698186536737
"225",100170,"Unlikely","TBD","TBD",142.698186536737
"226",102174,"Unlikely","TBD","TBD",142.698186536737
"227",111186,"Unlikely","TBD","TBD",142.698186536737
"228",114120,"Unlikely","TBD","TBD",142.698186536737
"229",118290,"Unlikely","TBD","TBD",142.698186536737
"230",106415,"Unlikely","TBD","TBD",142.698186536737
"231",106133,"Unlikely","TBD","TBD",142.698186536737
"232",105375,"Unlikely","TBD","TBD",142.698186536737
"233",109815,"Unlikely","TBD","TBD",142.698186536737
"234",105668,"Unlikely","TBD","TBD",142.698186536737
"235",101307,"Unlikely","TBD","TBD",142.698186536737
"236",107965,"Unlikely","TBD","TBD",142.698186536737
"237",102674,"Unlikely","TBD","TBD",142.698186536737
"238",107558,"Unlikely","TBD","TBD",142.698186536737
"239",107647,"Unlikely","TBD","TBD",142.698186536737
"240",100090,"Unlikely","TBD","TBD",142.698186536737
"241",102046,"Unlikely","TBD","TBD",142.698186536737
"242",106332,"Unlikely","TBD","TBD",142.698186536737
"243",103883,"Unlikely","TBD","TBD",142.698186536737
"244",103838,"Unlikely","TBD","TBD",142.698186536737
"245",104161,"Unlikely","TBD","TBD",142.698186536737
"246",107172,"Unlikely","TBD","TBD",142.698186536737
"247",101478,"Unlikely","TBD","TBD",142.698186536737
"248",113420,"Unlikely","TBD","TBD",142.698186536737
"249",108376,"Unlikely","TBD","TBD",142.698186536737
"250",106415,"Unlikely","TBD","TBD",142.698186536737
"251",101060,"Unlikely","TBD","TBD",142.698186536737
"252",108977,"Unlikely","TBD","TBD",142.698186536737
"253",100323,"Unlikely","TBD","TBD",142.698186536737
"254",105788,"Unlikely","TBD","TBD",142.698186536737
"255",128569,"Unlikely","TBD","TBD",142.698186536737
"256",106154,"Unlikely","TBD","TBD",142.698186536737
"257",102121,"Unlikely","TBD","TBD",142.698186536737
"258",109444,"Unlikely","TBD","TBD",142.698186536737
"259",100324,"Unlikely","TBD","TBD",142.698186536737
"260",111938,"Unlikely","TBD","TBD",142.698186536737
"261",112722,"Unlikely","TBD","TBD",142.698186536737
"262",111216,"Unlikely","TBD","TBD",142.698186536737
"263",102643,"Unlikely","TBD","TBD",142.698186536737
"264",105488,"Unlikely","TBD","TBD",142.698186536737
"265",112349,"Unlikely","TBD","TBD",142.698186536737
"266",105566,"Unlikely","TBD","TBD",142.698186536737
"267",100325,"Unlikely","TBD","TBD",142.698186536737
"268",104145,"Unlikely","TBD","TBD",142.698186536737
"269",115579,"Unlikely","TBD","TBD",142.698186536737
"270",117804,"Unlikely","TBD","TBD",142.698186536737
"271",106856,"Unlikely","TBD","TBD",142.698186536737
"272",105434,"Unlikely","TBD","TBD",142.698186536737
"273",104218,"Unlikely","TBD","TBD",142.698186536737
"274",100212,"Unlikely","TBD","TBD",142.698186536737
"275",107534,"Unlikely","TBD","TBD",142.698186536737
"276",113059,"Unlikely","TBD","TBD",142.698186536737
"277",111825,"Unlikely","TBD","TBD",142.698186536737
"278",108948,"Unlikely","TBD","TBD",142.698186536737
"279",103505,"Unlikely","TBD","TBD",142.698186536737
"280",117819,"Unlikely","TBD","TBD",142.698186536737
"281",101187,"Unlikely","TBD","TBD",142.698186536737
"282",103385,"Unlikely","TBD","TBD",142.698186536737
"283",101115,"Unlikely","TBD","TBD",142.698186536737
"284",112467,"Unlikely","TBD","TBD",142.698186536737
"285",101066,"Unlikely","TBD","TBD",142.698186536737
"286",100073,"Unlikely","TBD","TBD",142.698186536737
"287",101561,"Unlikely","TBD","TBD",142.698186536737
"288",117495,"Unlikely","TBD","TBD",142.698186536737
"289",103784,"Unlikely","TBD","TBD",142.698186536737
"290",100063,"Unlikely","TBD","TBD",142.698186536737
"291",117289,"Unlikely","TBD","TBD",142.698186536737
"292",109815,"Unlikely","TBD","TBD",142.698186536737
"293",108423,"Unlikely","TBD","TBD",142.698186536737
"294",100331,"Unlikely","TBD","TBD",142.698186536737
"295",112448,"Unlikely","TBD","TBD",142.698186536737
"296",103785,"Unlikely","TBD","TBD",142.698186536737
"297",100519,"Unlikely","TBD","TBD",142.698186536737
"298",102620,"Unlikely","TBD","TBD",142.698186536737
"299",117131,"Unlikely","TBD","TBD",142.698186536737
"300",106415,"Unlikely","TBD","TBD",142.698186536737
"301",101906,"Unlikely","TBD","TBD",142.698186536737
"302",108274,"Unlikely","TBD","TBD",142.698186536737
"303",100930,"Unlikely","TBD","TBD",142.698186536737
"304",113128,"Unlikely","TBD","TBD",142.698186536737
"305",106415,"Unlikely","TBD","TBD",142.698186536737
"306",113542,"Unlikely","TBD","TBD",142.698186536737
"307",114183,"Unlikely","TBD","TBD",142.698186536737
"308",104172,"Unlikely","TBD","TBD",142.698186536737
"309",102091,"Unlikely","TBD","TBD",142.698186536737
"310",106837,"Somewhat likely","TBD","TBD",122.698186536737
"311",107626,"Likely","TBD","TBD",61.0315198700701
"312",115119,"Unclear","TBD","TBD",141.864853203403
"313",116016,"Unclear","TBD","TBD",137.698186536737
"314",117590,"Somewhat likely","TBD","TBD",0
"315",119309,"Very likely","TBD","TBD",98.5315198700701
"316",119695,"Unlikely","TBD","TBD",142.698186536737
"317",120885,"Unclear","TBD","TBD",132.698186536737
"318",122443,"Somewhat likely","TBD","TBD",121.864853203403
"319",123402,"Likely","TBD","TBD",92.6981865367368
"320",128000,"Somewhat likely","TBD","TBD",108.53151987007
"321",128620,"Unclear","TBD","TBD",141.864853203403
"322",130548,"Somewhat likely","TBD","TBD",95.1981865367368
"323",130672,"Unclear","TBD","TBD",137.698186536737
"324",132360,"Somewhat likely","TBD","TBD",101.03151987007
"325",134606,"Unclear","TBD","TBD",139.364853203403
"326",135174,"Unclear","TBD","TBD",136.864853203403
"327",135243,"Somewhat likely","TBD","TBD",134.364853203403
"328",135315,"Somewhat likely","TBD","TBD",131.03151987007
"329",135320,"Unclear","TBD","TBD",136.864853203403
"330",137137,"Likely","TBD","TBD",125.198186536737
"331",137165,"Likely","TBD","TBD",134.364853203403
"332",137289,"Very likely","TBD","TBD",114.364853203403
"333",137407,"Unclear","TBD","TBD",121.864853203403
"334",137425,"Unclear","TBD","TBD",95.1981865367368
"335",137463,"Unclear","TBD","TBD",131.03151987007
"336",137465,"Very likely","TBD","TBD",131.864853203403
"337",138245,"Unclear","TBD","TBD",128.53151987007
"338",138406,"Unclear","TBD","TBD",134.364853203403
"339",138419,"Somewhat likely","TBD","TBD",131.864853203403
"340",139285,"Likely","TBD","TBD",133.53151987007
"341",139555,"Unlikely","TBD","TBD",141.864853203403
"342",141143,"Unclear","TBD","TBD",118.53151987007
"343",141558,"Somewhat likely","TBD","TBD",126.03151987007
"344",141601,"Unlikely","TBD","TBD",142.698186536737
"345",141784,"Somewhat likely","TBD","TBD",131.03151987007
"346",141809,"Somewhat likely","TBD","TBD",141.03151987007
"347",141849,"Somewhat likely","TBD","TBD",31.0315198700701
"348",141938,"Unlikely","TBD","TBD",142.698186536737
"349",142432,"Unclear","TBD","TBD",136.864853203403
"350",142452,"Very likely","TBD","TBD",125.198186536737
"351",142511,"Unlikely","TBD","TBD",135.198186536737
"352",142693,"Somewhat likely","TBD","TBD",123.53151987007
"353",142820,"Unlikely","TBD","TBD",142.698186536737
"354",143198,"Unclear","TBD","TBD",140.198186536737
"355",143215,"Unlikely","TBD","TBD",142.698186536737
"356",143457,"Likely","TBD","TBD",129.364853203403
"357",143655,"Likely","TBD","TBD",104.364853203403
"358",144169,"Somewhat likely","TBD","TBD",92.6981865367368
"359",144896,"Unlikely","TBD","TBD",141.03151987007
"360",144979,"Unclear","TBD","TBD",142.698186536737
"361",146516,"Unlikely","TBD","TBD",142.698186536737
"362",147329,"Likely","TBD","TBD",101.864853203403
"363",147396,"Unlikely","TBD","TBD",142.698186536737
"364",147762,"Unlikely","TBD","TBD",142.698186536737
"365",147873,"Unlikely","TBD","TBD",142.698186536737
"366",148190,"Unlikely","TBD","TBD",141.03151987007
"367",148242,"Very likely","TBD","TBD",115.198186536737
"368",148521,"Somewhat likely","TBD","TBD",74.3648532034034
"369",148686,"Somewhat likely","TBD","TBD",135.198186536737
"370",149015,"Likely","TBD","TBD",0
"371",149661,"Very likely","TBD","TBD",132.698186536737
"372",149792,"Somewhat likely","TBD","TBD",120.198186536737
"373",149819,"Unclear","TBD","TBD",131.03151987007
"374",150068,"Likely","TBD","TBD",135.198186536737
"375",150255,"Unclear","TBD","TBD",140.198186536737
"376",150704,"Unlikely","TBD","TBD",0
"377",150905,"Very likely","TBD","TBD",57.6981865367368
"378",151706,"Unlikely","TBD","TBD",142.698186536737
"379",153092,"Somewhat likely","TBD","TBD",114.364853203403
"380",153100,"Likely","TBD","TBD",100.198186536737
"381",153549,"Very likely","TBD","TBD",69.3648532034034
"382",153569,"Somewhat likely","TBD","TBD",48.5315198700701
"383",153873,"Unclear","TBD","TBD",140.198186536737
"384",154341,"Unclear","TBD","TBD",135.198186536737
"385",154492,"Unclear","TBD","TBD",139.364853203403
"386",154557,"Likely","TBD","TBD",111.03151987007
"387",154579,"Likely","TBD","TBD",127.698186536737
"388",156447,"Unlikely","TBD","TBD",131.864853203403
"389",156568,"Very likely","TBD","TBD",108.53151987007
"390",156765,"Unlikely","TBD","TBD",142.698186536737
"391",156893,"Likely","TBD","TBD",84.3648532034035
"392",157104,"Unlikely","TBD","TBD",142.698186536737
"393",157420,"Likely","TBD","TBD",136.864853203403
"394",157491,"Very likely","TBD","TBD",97.6981865367368
"395",157849,"Somewhat likely","TBD","TBD",130.198186536737
"396",157870,"Very likely","TBD","TBD",122.698186536737
"397",157927,"Unlikely","TBD","TBD",141.03151987007
"398",157981,"Unlikely","TBD","TBD",142.698186536737
"399",158035,"Unclear","TBD","TBD",122.698186536737
"400",158065,"Very likely","TBD","TBD",105.198186536737
"401",158329,"Likely","TBD","TBD",81.8648532034034
"402",162152,"Somewhat likely","TBD","TBD",83.5315198700701
"403",162601,"Unclear","TBD","TBD",133.53151987007
"404",162751,"Unclear","TBD","TBD",86.8648532034035
"405",164157,"Likely","TBD","TBD",134.364853203403
"406",165053,"Somewhat likely","TBD","TBD",129.364853203403
"407",165086,"Unclear","TBD","TBD",130.198186536737
"408",165251,"Somewhat likely","TBD","TBD",0
"409",165375,"Very likely","TBD","TBD",106.864853203403
"410",166923,"Unclear","TBD","TBD",140.198186536737
"411",167404,"Likely","TBD","TBD",127.698186536737
"412",167583,"Likely","TBD","TBD",95.1981865367368
"413",168476,"Unclear","TBD","TBD",140.198186536737
"414",168858,"Somewhat likely","TBD","TBD",111.864853203403
"415",169224,"Likely","TBD","TBD",86.0315198700701
"416",169553,"Unlikely","TBD","TBD",142.698186536737
"417",169914,"Somewhat likely","TBD","TBD",139.364853203403
"418",169930,"Somewhat likely","TBD","TBD",107.698186536737
"419",169971,"Unclear","TBD","TBD",141.864853203403
"420",171417,"Unlikely","TBD","TBD",0
"421",171463,"Likely","TBD","TBD",126.03151987007
"422",173811,"Unclear","TBD","TBD",139.364853203403
"423",173871,"Likely","TBD","TBD",125.198186536737
"424",174688,"Unclear","TBD","TBD",36.8648532034034
"425",175175,"Unclear","TBD","TBD",141.03151987007
"426",176265,"Somewhat likely","TBD","TBD",129.364853203403
"427",308220,"Likely","TBD","TBD",0
"428",308347,"Likely","TBD","TBD",106.864853203403
"429",309407,"Somewhat likely","TBD","TBD",123.53151987007
"430",309672,"Somewhat likely","TBD","TBD",139.364853203403
"431",309958,"Unclear","TBD","TBD",140.198186536737
"432",311596,"Unclear","TBD","TBD",141.864853203403
"433",311714,"Unlikely","TBD","TBD",142.698186536737
"434",120425,"Unlikely","TBD","TBD",142.698186536737
"435",163219,"Unlikely","TBD","TBD",142.698186536737
"436",125920,"Unlikely","TBD","TBD",142.698186536737
"437",126938,"Unlikely","TBD","TBD",142.698186536737
"438",143178,"Unlikely","TBD","TBD",142.698186536737
"439",137304,"Unlikely","TBD","TBD",142.698186536737
"440",140432,"Unlikely","TBD","TBD",142.698186536737
"441",124254,"Unlikely","TBD","TBD",142.698186536737
"442",126897,"Unlikely","TBD","TBD",142.698186536737
"443",136390,"Unlikely","TBD","TBD",142.698186536737
"444",131240,"Unlikely","TBD","TBD",142.698186536737
"445",145507,"Unlikely","TBD","TBD",142.698186536737
"446",123993,"Unlikely","TBD","TBD",142.698186536737
"447",131665,"Unlikely","TBD","TBD",142.698186536737
"448",122636,"Unlikely","TBD","TBD",142.698186536737
"449",125161,"Unlikely","TBD","TBD",142.698186536737
"450",159997,"Unlikely","TBD","TBD",142.698186536737
"451",134793,"Unlikely","TBD","TBD",142.698186536737
"452",124431,"Unlikely","TBD","TBD",142.698186536737
"453",120498,"Unlikely","TBD","TBD",142.698186536737
"454",131649,"Unlikely","TBD","TBD",142.698186536737
"455",129201,"Unlikely","TBD","TBD",142.698186536737
"456",137633,"Unlikely","TBD","TBD",142.698186536737
"457",125569,"Unlikely","TBD","TBD",142.698186536737
"458",128300,"Unlikely","TBD","TBD",142.698186536737
"459",139857,"Unlikely","TBD","TBD",142.698186536737
"460",117187,"Unlikely","TBD","TBD",142.698186536737
"461",133020,"Unlikely","TBD","TBD",142.698186536737
"462",128872,"Unlikely","TBD","TBD",142.698186536737
"463",140430,"Unlikely","TBD","TBD",142.698186536737
"464",135642,"Unlikely","TBD","TBD",142.698186536737
"465",129778,"Unlikely","TBD","TBD",142.698186536737
"466",140909,"Unlikely","TBD","TBD",142.698186536737
"467",129970,"Unlikely","TBD","TBD",142.698186536737
"468",122684,"Unlikely","TBD","TBD",142.698186536737
"469",118434,"Unlikely","TBD","TBD",142.698186536737
"470",130864,"Unlikely","TBD","TBD",142.698186536737
"471",117477,"Unlikely","TBD","TBD",142.698186536737
"472",119535,"Unlikely","TBD","TBD",142.698186536737
"473",140880,"Unlikely","TBD","TBD",142.698186536737
"474",128540,"Unlikely","TBD","TBD",142.698186536737
"475",140234,"Unlikely","TBD","TBD",142.698186536737
"476",137184,"Unlikely","TBD","TBD",142.698186536737
"477",136905,"Unlikely","TBD","TBD",142.698186536737
"478",136473,"Unlikely","TBD","TBD",142.698186536737
"479",137275,"Unlikely","TBD","TBD",142.698186536737
"480",139736,"Unlikely","TBD","TBD",142.698186536737
"481",132959,"Unlikely","TBD","TBD",142.698186536737
"482",120504,"Unlikely","TBD","TBD",142.698186536737
"483",120374,"Unlikely","TBD","TBD",142.698186536737
"484",142541,"Unlikely","TBD","TBD",142.698186536737
"485",127537,"Unlikely","TBD","TBD",142.698186536737
"486",118438,"Unlikely","TBD","TBD",142.698186536737
"487",142482,"Unlikely","TBD","TBD",142.698186536737
"488",144121,"Unlikely","TBD","TBD",142.698186536737
"489",161922,"Unlikely","TBD","TBD",142.698186536737
"490",119880,"Unlikely","TBD","TBD",142.698186536737
"491",141930,"Unlikely","TBD","TBD",142.698186536737
"492",123322,"Unlikely","TBD","TBD",142.698186536737
"493",129617,"Unlikely","TBD","TBD",142.698186536737
"494",127487,"Unlikely","TBD","TBD",142.698186536737
"495",120591,"Unlikely","TBD","TBD",142.698186536737
"496",121814,"Unlikely","TBD","TBD",142.698186536737
"497",120058,"Unlikely","TBD","TBD",142.698186536737
"498",132258,"Unlikely","TBD","TBD",142.698186536737
"499",134859,"Unlikely","TBD","TBD",142.698186536737
